BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
13.12.2025;08:30;CET;13.12.2025;12:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;85,71;100;300;TenneT DE;50Hertz & TenneT DE;SHN Cluster Handewitt T414 T415;Erneuerbar
13.12.2025;10:00;CET;14.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;54;99;326;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H Berlin Marzahn;Konventionell
13.12.2025;11:00;CET;13.12.2025;12:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;30;30;30;TransnetBW;50Hertz & TenneT DE;Grosskraftwerk Mannheim Block 6;Konventionell
13.12.2025;11:00;CET;13.12.2025;12:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;300;300;300;TenneT DE;TenneT DE;UW Büttel;Erneuerbar
13.12.2025;13:00;CET;13.12.2025;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;123;155;370;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;HAMMUENTROP_20;Konventionell
13.12.2025;13:00;CET;13.12.2025;20:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;220,02;274;1705,18;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Irsching 5;Konventionell
13.12.2025;15:00;CET;13.12.2025;15:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;26;51;13;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Sonstiges
13.12.2025;15:15;CET;13.12.2025;17:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;60;92;151;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk GTKW-DA-POOL;Konventionell
13.12.2025;15:15;CET;13.12.2025;18:00;CET;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung reduzieren;104,14;144;182,25;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Sonstiges
13.12.2025;15:15;CET;13.12.2025;22:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;159;210;1076;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland Block B;Konventionell
13.12.2025;16:00;CET;13.12.2025;17:00;CET;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung erhöhen;17;17;17;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Sonstiges
13.12.2025;16:45;CET;13.12.2025;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;5;5;1;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Konventionell
13.12.2025;17:00;CET;13.12.2025;20:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;109,39;183;355,53;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Irsching 4;Konventionell
13.12.2025;19:00;CET;14.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;190,05;436;950,23;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;UW Diele;Erneuerbar
13.12.2025;19:45;CET;13.12.2025;23:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;372;477;1487;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;STUMMHAFEN_10;Konventionell
13.12.2025;20:00;CET;13.12.2025;22:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;49;64;98;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;illwerke vkw AG;Sonstiges
13.12.2025;20:30;CET;14.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;262,14;320;917,5;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 8;Konventionell
13.12.2025;20:30;CET;14.12.2025;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;201,63;500;705,7;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;UW Diele;Erneuerbar
